412	Try it with Google Skymap!	 - Samsung Galaxy S2 	 1.12	 - February 13, 2012
412	Ingenious Idea!!!	 - Galaxy S2 Skyrocket 	 1.12	 - February 7, 2012
412	Works on DX	 - Motorola Droid X 	 1.12	 - February 7, 2012
412	Very cool	 - Samsung Galaxy W 	 1.12	 - February 6, 2012
412	Great fun app.	 - LG Optimus 2X 	 1.12	 - February 6, 2012
412	Does what it supose to do	 - Samsung Galaxy S2 	 1.12	 - February 9, 2012
412	Great app	 - Samsung Galaxy Nexus 	 1.12	 - February 6, 2012
412	Brilliant!		 - Version 1.12	 - February 12, 2012
412	Works well with multiple apps	 - Samsung Galaxy S 	 1.11	 - February 2, 2012
412	Great	 - Samsung Galaxy S2 	 1.11	 - January 29, 2012
412	Kept forcing closed			 - February 10, 2012
412	No more headaches!	 - Samsung Galaxy S2 	 1.14	 - February 21, 2012
1160	Clever App, Great Help	 - HTC myTouch 4G 	 Vesion 1.0.2	 - May 26, 2012
1160	perfect coaching assistant	 - Motorola Droid Pro 	 Vesion 1.0.1	 - April 23, 2012
1160	Fantastic App !		 - Version Vesion 1.0.1	 - March 13, 2012
1160	Poor		 - Galaxy S Plus	 - May 17, 2012
472	Decent	 - Toshiba AT100 	 1.6.1	 - May 4, 2012
472	Nice App		 - Version 1.6.1	 - May 2, 2012
472	Nice app!	 - HTC Nexus One 	 1.2	 - February 12, 2012
401	Would give it 4-5 stars but...	 - Motorola Atrix 	 1.2	 - December 20, 2011
401	Really interesting app! I think I have some friends that need to take some ...	 - HTC Evo 4G 	 1.2	 - December 1, 2010
401	Great help	 - Motorola Droid 	 1.2	 - September 23, 2010
211	Not created by migraine sufferer	 - HTC Sensation 4G 	 1.5.1	 - May 23, 2012
211	LOVE this app! I've tried keeping track of migraines on paper in the past ...	 - Motorola Droid II 	 1.5.1	 - July 7, 2011
211	Addition of charts/graphs is fantastic. Would like to see severity and duration ...	 - HTC myTouch 3G 	 1.5.1	 - August 22, 2010
211	Has really helped with tracking my migraines....helps to chart and show my ...	 - Motorola Devour 	 1.5.1	 - November 7, 2010
211	Pretty user friendly. Would like to be able to select more than one drug ...	 - Samsung Galaxy S 	 1.5.1	 - June 30, 2011
211	Great	 - Motorola Atrix 	 1.5.1	 - September 27, 2011
211	For those of us who have both acephalgic and [with pain] - trying to ...	 - HTC myTouch 3G 	 1.5.1	 - October 11, 2010
211	I have had Chronic Daily Migraine for over 13 years! This is by far ...	 - Motorola Droid X 	 1.5.1	 - April 10, 2011
211	Thank you so much. Just a suggestion though, what about adding a warning signs ...	 - Motorola XOOM 	 1.5.1	 - September 1, 2010
211	Very helpful for tracking migraines and sharing with neurologist, love charts, ...		 - Version 1.5.1	 - November 5, 2010
211	Great app - love that you can add your own triggers. Didnt notice that ...	 - Motorola Droid II 	 1.5.1	 - December 12, 2010
211	I routinely have HA which last for Hours & Days. I LOVE THIS APP! ...	 - Motorola Droid 	 1.5.1	 - March 19, 2011
211	Very satisfied, finally a simple way to register attacks. Love that I can define ...	 - Samsung Galaxy S2 	 1.5.1	 - January 8, 2011
211	Amazing app, really pleased with it thanks! Could add "other" to type of medication ...	 - HTC Desire 	 1.5.1	 - June 17, 2010
211	missing a lot of triggers. doesnt list msg, food, wine, cold weather, barometer ...	 - SEMC Xperia X10 Mini 	 1.5.1	 - June 18, 2011
211	Very helpful! Would like to be able to add other choices for symptoms, chose ...		 - Version 1.5.0	 - October 12, 2010
211	Very helpful for finding a pattern in your headaches, and gives me the ability ...		 - Version 1.5.0	 - September 11, 2010
211	After 40 minutes of downloading i gave up and canceled it.	 - Motorola Droid 	 1.5.0	 - September 20, 2010
211	Im loveing this app, but Im having a problem. For some reason the start ...	 - Motorola Droid II 	 1.5.0	 - October 19, 2010
211	Great tracker. Would prefer to be able to note effectiveness of each medication.	 - HTC Droid Incredible 	 1.4.4	 - August 9, 2010
211	This app is amazing, worth every penny. I would highly reccomend :)		 - Version 1.4.3	 - May 8, 2010
211	awesome love it		 - Version 1.4.2	 - May 4, 2010
211	Needs a field for phonophobia just like the one for photophobia.	 - HTC myTouch 3G 	 1.4.1	 - July 7, 2010
211	Love it!!! Works great for Droid! With latest update can no longer select multiple ...	 - Motorola Droid 	 1.4.0	 - April 4, 2010
211	Great app but wish all fields weren't mandatory to fill in, annoying especially ...		 - Version 1.4.0	 - April 7, 2010
211	Thanks for backup and restore, I was waiting for it.		 - Version 1.4.0	 - April 1, 2010
211	I love it!!	 - Motorola Droid 	 1.4.0	 - April 3, 2010
211	thanks, doc always asks for this information. now can email it. simple and what ...	 - HTC Nexus One 	 1.3.0	 - March 16, 2010
211	I love that the log can be emailed or printed out! LOVE this app!	 - Motorola Droid 	 1.3.0	 - March 7, 2010
211	It would be nice if it had an end time instead a duration of ...		 - Version 1.2.9	 - February 19, 2010
211	An absolutely fabulous tool. Easy to use. Great trending data provided. Should be ...	 - HTC Evo 4G 	 1.2.9	 - March 29, 2010
211	Just what I needed to track my frequency & identify if my preventive med ...		 - Version 1.2.9	 - February 8, 2010
211	Charts and graphs are very usefull! But I have text overlaps for lower percentages	 - HTC Legend 	 1.2.7.1	 - August 20, 2010
211	Great app! Works beautifully and the developer is very responsive to suggestions.	 - HTC myTouch 3G 	 1.2.7	 - June 17, 2010
211	It is a good apparently but it would be nice if it would track ...	 - Samsung Droid Charge 	 1.2.6	 - December 2, 2009
211	This is just what I was needing! I hoped to have one with my ...		 - Version 1.2.2	 - November 17, 2009
211	Originally had issues. Donal contacted me and fixed the problem. Way beyond what i ...		 - Version 1.2.5	 - November 20, 2009
211	Absolutely LOVE this application! A must have for anyone who suffers with ...		 - Version 1.2.0	 - October 30, 2009
211	Fantastic app for a niche market; well worth the money; dev is incredibly ...		 - Version 1.2.8	 - February 6, 2010
211	Great app. Versatile - can add own triggers and meds.	 - Samsung Moment 	 1.2.4	 - November 18, 2009
211	Hi Nancy, the problem is with the Android Market. Please try again using wifi ...	 - HTC myTouch 3G 	 1.2.4	 - September 21, 2010
211	This program rocks thanks for the updates yea		 - Version 1.2.5	 - November 20, 2009
230	Awesome app...... Very helpful	 - HTC Incredible 2 	 2.3	 - October 26, 2011
386	Great app-allows you to edit type & dose of med, charts are helpful BUT ...	 - LG Ally 	 3.0.9	 - June 23, 2010
386	I'd give it a strong 5, if I had a way to exit the ...		 - Version 3.0.9	 - December 30, 2010
386	Just what i've been looking for ! Thanks!	 - Motorola Droid II 	 3.0.9	 - October 30, 2010
386	Great program. I would recommend it for anyone with diabetes		 - Version 2.0.0	 - July 21, 2009
386	Visionary app. Ideal for diabetics who want to control glucose tightly. The risk ...		 - Version 2.0.0	 - July 16, 2009
8	Getting better all the time!	 - Samsung Galaxy S 	 1.4.2	 - June 12, 2012
8	Should have been included in main app, but..	 - Motorola Droid X2 	 1.4.2	 - June 16, 2012
8	Great App	 - Galaxy S Plus 	 1.4.1	 - June 11, 2012
8	Fixed!	 - Samsung Galaxy Nexus 	 1.4.1	 - June 9, 2012
8	Looks interesting but I mostly purchaced it to support the developer and the ...	 - Samsung Galaxy S 	 1.4.1	 - June 10, 2012
8	Freezing after update		 - Version 1.3.0	 - June 8, 2012
8	Annoying Share popup	 - HTC G2 	 1.3.0	 - June 8, 2012
8	Won't open.	 - Casio G'zOne Commando 	 1.3.0	 - June 8, 2012
8	This is a great add-on	 - Samsung Galaxy 3 	 1.2.6	 - June 2, 2012
8	Excellent addon for an excellent app!	 - Samsung Droid Charge 	 1.2.4	 - February 24, 2012
8	so far i'm liking it		 - Version 1.2.4	 - May 3, 2012
8	Amazing!		 - Version 1.2.4	 - May 7, 2012
8	Misnamed - should be called sleep "charts"		 - Version 1.2.4	 - May 7, 2012
8	Using with Galaxy Note	 - Samsung Galaxy Note 	 1.2.4	 - February 26, 2012
8	Not bad		 - Version 1.2.4	 - May 27, 2012
8	Regresses functionality	 - HTC G2 	 1.2.4	 - May 22, 2012
8	Helpful but...	 - HTC EVO 3D 	 1.2.4	 - April 28, 2012
8	Don't see the value in paying for this	 - Samsung Galaxy Nexus 	 1.2.4	 - February 19, 2012
8	Decent	 - HTC Legend 	 1.2.2	 - February 9, 2012
8	Eman	 - Motorola Photon 4G 	 1.2.2	 - February 12, 2012
8	Misleading advertising.	 - Samsung Galaxy S2 	 1.2.1	 - January 22, 2012
8	Meh	 - HTC Evo 4G 	 1.2.1	 - January 23, 2012
